date,close
1990-12-19,66.5648
1990-12-20,69.487
1990-12-21,72.6421
1990-12-24,76.25
1990-12-25,80.0441
1990-12-26,83.3857
1990-12-27,83.3924
1990-12-28,84.1712
1990-12-31,84.9433
1991-01-02,85.7621
1991-01-03,86.6274
1991-01-04,87.4927
1991-01-07,87.9054
1991-01-08,88.3181
1991-01-09,88.7575
1991-01-10,89.1768
1991-01-11,89.5962
1991-01-14,89.6428
1991-01-15,89.6894
1991-01-16,89.3566
1991-01-17,89.3632
1991-01-18,89.3566
1991-01-21,89.3566
1991-01-22,89.0104
1991-01-23,88.6443
1991-01-24,88.2715
1991-01-25,87.8988
1991-01-28,87.5061
1991-01-29,87.1666
1991-01-30,86.8271
1991-01-31,86.5142
1991-02-01,86.208
1991-02-04,85.9018
1991-02-05,85.589
1991-02-06,85.9618
1991-02-07,86.3944
1991-02-08,86.7872
1991-02-11,87.1799
1991-02-12,87.4328
1991-02-13,87.8123
1991-02-14,88.2183
1991-02-19,88.6177
1991-02-20,88.9771
1991-02-21,89.3832
1991-02-22,89.7759
1991-02-25,89.4631
1991-02-26,89.1502
1991-02-27,88.844
1991-02-28,88.5378
1991-03-01,88.2183
1991-03-04,87.8588
1991-03-05,87.5061
1991-03-06,87.1599
1991-03-07,86.8071
1991-03-08,86.461
1991-03-11,86.0749
1991-03-12,85.7155
1991-03-13,83.9715
1991-03-14,83.6253
1991-03-15,83.3191
1991-03-18,83.0129
1991-03-19,82.6868
1991-03-20,82.314
1991-03-21,81.9545
1991-03-22,81.6217
1991-03-25,81.2889
1991-03-26,80.9561
1991-03-27,80.6233
1991-03-28,80.2838
1991-03-29,80.0042
1991-04-01,80.3637
1991-04-02,80.6832
1991-04-03,80.9535
1991-04-04,80.9063
1991-04-05,80.7799
1991-04-08,80.4567
1991-04-09,80.134
1991-04-10,79.8009
1991-04-11,79.4502
1991-04-12,79.1353
1991-04-15,78.7739
1991-04-16,78.4727
1991-04-17,78.1711
1991-04-18,77.8558
1991-04-19,77.6019
1991-04-22,77.3037
1991-04-23,76.9765
1991-04-24,76.6577
